,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
10,17460,Cleveland-Elyria-Mentor OH,2319768,722955,2173278,785082,2102216,808411,2148138,853173,2077240,854893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,6,12,17,30,40,50,67,89,120,162,198,228,283,348,455,516,611,684,732,806,916,1048,1074,1131,1197,1248,1333,1405,1462,1546,1613,1678,1736,1812,1897,1984,2105,2128,2259,2367,2450,2527,2612,2679,2732,2796,2860,2931,3067,3184,3286,3335,3418,3463,2542,2591,2668,2755,2795,2861,41.4767,-81.6805
11,18140,Columbus OH,1167826,360673,1267350,457729,1405079,534174,1612378,636576,1836536,723572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,7,12,17,27,42,54,93,114,142,198,286,317,367,425,509,576,668,757,825,889,963,1038,1107,1175,1233,1300,1405,1470,1610,1761,1936,2076,2368,3143,3592,3664,3754,3866,3947,4067,4181,4292,4455,4707,4866,5013,5250,5448,5582,190,196,199,211,220,222,39.986,-82.9851
12,18740,Coshocton OH,33383,10934,35931,13034,35426,13434,36655,14357,36901,14658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,4,4,4,4,4,5,5,7,8,8,8,9,10,10,10,12,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,18,19,19,19,19,40.2618,-81.848
13,19380,Dayton OH,851195,263321,831096,300360,843874,323457,848176,338992,841502,343971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12,19,25,32,36,37,54,61,71,81,96,110,120,133,153,178,219,260,283,296,306,326,358,368,375,387,393,405,417,420,429,434,439,449,450,457,463,468,472,490,497,508,529,534,540,549,50,52,52,53,59,63,39.7797,-84.1998
14,19580,Defiance OH,36945,10672,38067,12722,39350,14070,39500,15138,39037,15268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,5,5,5,5,5,6,6,6,7,7,8,9,10,10,11,11,11,12,12,12,12,13,13,14,15,15,17,17,18,19,19,19,20,20,20,20,20,20,20,21,21,21,21,26,26,26,41.281,-84.3659
15,22300,Findlay OH,61213,19435,61055,21918,65536,24643,71295,27898,74782,30197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3,5,6,8,9,9,11,14,15,17,16,17,20,19,19,20,23,25,27,29,29,29,29,30,32,34,34,34,35,37,37,37,37,38,38,39,39,39,39,39,39,39,39,41.0467,-83.6379
16,23380,Fremont OH,60824,18187,63083,21494,61963,22464,61792,23717,60944,24182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,3,4,5,5,5,5,5,5,5,5,7,7,10,11,12,13,13,14,16,17,17,17,17,17,19,19,19,19,19,19,23,27,28,32,34,36,40,40,41,47,48,49,52,41.3533,-83.1146
17,24820,Greenville OH,48947,15194,54915,18811,53618,19458,53309,20420,52959,20929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,12,13,22,22,26,28,32,32,34,38,40,40,42,45,49,50,52,55,55,55,56,57,58,62,62,74,75,75,75,75,76,76,76,76,77,77,77,79,79,82,84,84,89,40.1043,-84.6209
18,30620,Lima OH,111146,33965,112238,39162,109756,39407,108472,40646,106331,40619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,5,6,10,13,15,18,19,22,23,23,24,27,33,37,46,51,57,65,70,79,84,88,94,100,103,103,103,103,103,116,121,121,123,124,133,135,138,138,139,144,144,146,40.741,-84.1121
19,31900,Mansfield OH,129996,39869,131196,46407,126137,47572,128851,49534,124475,48921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,4,5,5,5,6,8,8,10,14,17,19,20,25,27,28,34,36,43,43,44,48,50,60,64,64,66,68,70,73,76,76,76,80,80,81,85,89,90,90,91,92,94,103,113,118,121,40.7656,-82.5275
